Language	dirname	runtime	year	github link	github is mirror	gitlab link	sourcehut link	svn link	sourceforge link	wiki link	website link	github stars	Tiobe name	Tiobe Rank	Tiobe rating	pypl name	pypl rank	pypl share	redmonk name	redmonk rank	Linux	Free	CLI	Notes
(Visual) FoxPro	visual-foxpro			https://github.com/VFPX/Win32API								152	(Visual) FoxPro	50	0.23
ABAP	abap												ABAP	37	0.34	Abap	23	0.35			No	No	Limited	SAP-specific
ActionScript	actionscript												ActionScript	51							Yes	Freemium	Limited	Adobe Flash ecosystem
Ada	ada			https://github.com/AdaCore/gnatstudio						https://en.wikipedia.org/wiki/Ada_(programming_language)		503	Ada	20	0.91	Ada	11	2.51			Yes	Yes	Yes	GNAT compiler available
AssemblyScript	assemblyscript	Wasmtime
Emscripten	emscripten	Wasmtime
Go	go	Wasmtime
Grain	grain	Wasmtime
Kotlin	kotlin	Wasmtime
Moonbit	moonbit	Wasmtime
Rust	rust	Wasmtime
Switf	switf	Wasmtime
Zig	zig	Wasmtime
agda	agda		2007	https://github.com/agda/agda								2,834
Algol	algol			https://github.com/JvanKatwijk/algol-60-compiler						https://en.wikipedia.org/wiki/ALGOL		43	Algol	52							Yes	Yes	Yes	Historical language
Apex	apex												Apex	53							No	No	No	Salesforce-specific
AppleScript	applescript												AppleScript	54							No	Yes	No	macOS-only
Assembly language	assembly									https://en.wikipedia.org/wiki/Assembly_language			Assembly language	18	1.05						Yes	Yes	Yes	Architecture-specific
Awk	awk			https://github.com/onetrueawk/awk						https://en.wikipedia.org/wiki/AWK		2,189	Awk	55							Yes	Yes	Yes	Text processing
Ballerina	ballerina		2017	https://github.com/ballerina-platform/ballerina-lang								3,833
Bash	bash		1989	https://github.com/gitGNU/gnu_bash						https://en.wikipedia.org/wiki/Bash_(Unix_shell)	https://www.gnu.org/software/bash/	203	Bash	56					Shell	14
bc	bc			https://github.com/gavinhoward/bc								238	bc	57							Yes	Yes	Yes	Calculator language
BCPL	bcpl									https://en.wikipedia.org/wiki/BCPL			BCPL	58							Yes	Yes	Yes	Historical systems language
beef	beef		2014	https://github.com/beefytech/Beef								2,799
berry	berry		2019	https://github.com/berry-lang/berry							https://berry-lang.github.io	1,026
blade	blade		2021	https://github.com/blade-lang/blade								194
borgo	borgo		2024	https://github.com/borgo-lang/borgo								4,622
Bourne shell	bourne shell		1979							https://en.wikipedia.org/wiki/Bourne_shell			Bourne shell	59							Yes	Yes	Yes	Original Unix shell
bqn	bqn		2020	https://github.com/mlochbaum/BQN								1,051
c		clang	2007	https://github.com/llvm/llvm-project												#REF!	#REF!
c		gcc	1987	https://github.com/gcc-mirror/gcc												#REF!	#REF!
C	c		1972	https://github.com/gcc-mirror/gcc	TRUE					https://en.wikipedia.org/wiki/C_(programming_language)	https://gcc.gnu.org/	10,889	C	2	12.34	C/C++	2	13.21	C	10
C#	c-sharp		2000	https://github.com/dotnet/roslyn						https://en.wikipedia.org/wiki/C_Sharp_(programming_language)	https://docs.microsoft.com/dotnet/csharp/roslyn-sdk/	20,389	C#	5	5.98	C#	7	3.00	C#	4
C++	c-plus-plus		1985	https://github.com/llvm/llvm-project						https://en.wikipedia.org/wiki/C%2B%2B		38,103	C++	3	8.03	C/C++	2	13.21	C++	7
Caml	caml									https://en.wikipedia.org/wiki/Caml			Caml	40	0.27						Yes	Yes	Yes	Subset of OCaml
carbon	carbon		2022	https://github.com/carbon-language/carbon-lang						https://en.wikipedia.org/wiki/Carbon_(programming_language)		33,681
CFML	cfml												CFML	60							Yes	Freemium	Yes	Web framework-specific
chapel	chapel		2009	https://github.com/chapel-lang/chapel						https://en.wikipedia.org/wiki/Chapel_(programming_language)	https://chapel-lang.org	1,992
cherri	cherri		2022	https://github.com/electrikmilk/cherri								1,460
CL (OS/400)	cl-os-400												CL (OS/400)	61							No	No	No	IBM mainframe-specific
Clojure	clojure		2007	https://github.com/clojure/clojure						https://en.wikipedia.org/wiki/Clojure	https://clojure.org	10,865	Clojure	62
clojure		clojerl	2020	https://github.com/clojerl/clojerl
clojurescript	clojurescript		2011	https://github.com/clojure/clojurescript						https://en.wikipedia.org/wiki/Clojure#ClojureScript	https://clojurescript.org/	9,386
COBOL	cobol			https://github.com/OCamlPro/gnucobol	TRUE					https://en.wikipedia.org/wiki/COBOL		59	COBOL	23	0.67	Cobol	30	0.04			Yes	Yes	Yes	GnuCOBOL available
coconut	coconut		2015	https://github.com/evhub/coconut								4,324
CoffeeScript	coffeescript		2009	https://github.com/jashkenas/coffeescript						https://en.wikipedia.org/wiki/CoffeeScript	https://coffeescript.org/	16,580	CoffeeScript	63
common-lisp	common-lisp		1984	https://github.com/sbcl/sbcl	TRUE				https://sourceforge.net/projects/sbcl/	https://en.wikipedia.org/wiki/Common_Lisp	https://www.sbcl.org	2,097
cpp		clang	2007	https://github.com/llvm/llvm-project
cpp		gcc	1987	https://github.com/gcc-mirror/gcc
crystal	crystal		2014	https://github.com/crystal-lang/crystal						https://en.wikipedia.org/wiki/Crystal_(programming_language)	https://crystal-lang.org	20,246
CSS										https://en.wikipedia.org/wiki/CSS									CSS	7
Curl	curl									https://en.wikipedia.org/wiki/Curl_(programming_language)	https://www.curl.com/		Curl	64							Yes	Yes	Yes	Data format language
D	d		2001	https://github.com/dlang/dmd						https://en.wikipedia.org/wiki/D_(programming_language)	https://dlang.org	3,264	D	65
d		dmd	2001	https://github.com/dlang/dmd
d		ldc	2007	https://github.com/ldc-developers/ldc
dafny	dafny		2009	https://github.com/dafny-lang/dafny								3,392
dark	dark		2016	https://github.com/darklang/dark								2,157
Dart	dart		2011	https://github.com/dart-lang/sdk						https://en.wikipedia.org/wiki/Dart_(programming_language)	https://dart.dev	11,122	Dart	28	0.58	Dart	16	0.94	Dart	18
Dash			2002							https://en.wikipedia.org/wiki/Almquist_shell	http://gondor.apana.org.au/~herbert/dash/
Delphi	delphi									https://en.wikipedia.org/wiki/Delphi_(software)			Delphi/Object Pascal	10	1.52	Delphi/Pascal	25	0.23			Yes	Freemium	Yes	Already have Free Pascal in project
eiffel	eiffel		1985	https://github.com/LibertyEiffel/Liberty								52
Elixir	elixir		2012	https://github.com/elixir-lang/elixir						https://en.wikipedia.org/wiki/Elixir_(programming_language)	https://elixir-lang.org/	26,383	Elixir	66
Elm	elm		2012	https://github.com/elm/compiler						https://en.wikipedia.org/wiki/Elm_(programming_language)		7,772										Yes		Web-focused functional language
elvish	elvish		2013	https://github.com/elves/elvish							https://elv.sh/	6,290
erg	erg		2022	https://github.com/erg-lang/erg								2,855
Erlang	erlang		1986	https://github.com/erlang/otp						https://en.wikipedia.org/wiki/Erlang_(programming_language)	http://erlang.org	12,121	Erlang	41	0.27
