Language	Stars	GitHub Link
go	133819	https://github.com/golang/go
kotlin	52706	https://github.com/JetBrains/kotlin
professional-programming	50797	https://github.com/charlax/professional-programming
julia	48684	https://github.com/JuliaLang/julia
awesome-cheatsheets	45783	https://github.com/LeCoupa/awesome-cheatsheets
v	37559	https://github.com/vlang/v
carbon-lang	33692	https://github.com/carbon-language/carbon-lang
modular	26069	https://github.com/modular/modular
solidity	25626	https://github.com/argotorg/solidity
ruby	23572	https://github.com/ruby/ruby
cloc	22999	https://github.com/AlDanial/cloc
gleam	21432	https://github.com/gleam-lang/gleam
crystal	20268	https://github.com/crystal-lang/crystal
wenyan	20257	https://github.com/wenyan-lang/wenyan
advanced-go-programming-book	20065	https://github.com/chai2010/advanced-go-programming-book
learn-python	17944	https://github.com/trekhleb/learn-python
lowlevelprogramming-university	12672	https://github.com/gurugio/lowlevelprogramming-university
pkl	11335	https://github.com/apple/pkl
sdk	11133	https://github.com/dart-lang/sdk
reason	10309	https://github.com/reasonml/reason
Odin	10280	https://github.com/odin-lang/Odin
awesome-compilers	9773	https://github.com/aalhour/awesome-compilers
xgo	9415	https://github.com/goplus/xgo
penrose	7938	https://github.com/penrose/penrose
Eve	7224	https://github.com/witheve/Eve
haxe	6847	https://github.com/HaxeFoundation/haxe
unison	6619	https://github.com/unisonweb/unison
supercollider	6560	https://github.com/supercollider/supercollider
imba	6498	https://github.com/imba/imba
elvish	6295	https://github.com/elves/elvish
ponyc	6097	https://github.com/ponylang/ponyc
red	6000	https://github.com/red/red
alda	5897	https://github.com/alda-lang/alda
ultimate-python	5841	https://github.com/huangsam/ultimate-python
luau	5519	https://github.com/luau-lang/luau
go-ast-book	5509	https://github.com/chai2010/go-ast-book
RustBooks	5493	https://github.com/sger/RustBooks
groovy	5446	https://github.com/apache/groovy
wing	5389	https://github.com/winglang/wing
aviatorscript	5197	https://github.com/killme2008/aviatorscript
Orca	5001	https://github.com/hundredrabbits/Orca
gopl-zh.github.com	4942	https://github.com/gopl-zh/gopl-zh.github.com
unit	4902	https://github.com/samuelmtimbo/unit
leo	4811	https://github.com/ProvableHQ/leo
wuffs	4746	https://github.com/google/wuffs
borgo	4626	https://github.com/borgo-lang/borgo
gravity	4507	https://github.com/marcobambini/gravity
awesome-wasm-langs	4427	https://github.com/appcypher/awesome-wasm-langs
coconut	4326	https://github.com/evhub/coconut
mint	4247	https://github.com/mint-lang/mint
lmql	4176	https://github.com/eth-sri/lmql
bhai-lang	4101	https://github.com/DulLabs/bhai-lang
ballerina-lang	3837	https://github.com/ballerina-platform/ballerina-lang
tengo	3804	https://github.com/d5/tengo
Learn-iOS-Swift-by-Examples	3781	https://github.com/Lax/Learn-iOS-Swift-by-Examples
locutus	3770	https://github.com/locutusjs/locutus
P	3606	https://github.com/p-org/P
emojicode	3404	https://github.com/emojicode/emojicode
dafny	3400	https://github.com/dafny-lang/dafny
gluon	3399	https://github.com/gluon-lang/gluon
dmd	3262	https://github.com/dlang/dmd
checkedc	3261	https://github.com/checkedc/checkedc
jank	3208	https://github.com/jank-lang/jank
artichoke	3132	https://github.com/artichoke/artichoke
awesome-ocaml	3074	https://github.com/ocaml-community/awesome-ocaml
FStar	3019	https://github.com/FStarLang/FStar
jakt	2986	https://github.com/SerenityOS/jakt
ispc	2873	https://github.com/ispc/ispc
erg	2856	https://github.com/erg-lang/erg
agda	2839	https://github.com/agda/agda
Beef	2803	https://github.com/beefytech/Beef
Computer-Science-Resources	2763	https://github.com/the-akira/Computer-Science-Resources
awesome-tensor-compilers	2745	https://github.com/merrymercy/awesome-tensor-compilers
flix	2649	https://github.com/flix/flix
zig-book	2534	https://github.com/pedropark99/zig-book
numbat	2528	https://github.com/sharkdp/numbat
CS-Ebook	2446	https://github.com/lining808/CS-Ebook
ACM-ICPC-Preparation	2432	https://github.com/BedirT/ACM-ICPC-Preparation
CreepyCodeCollection	2397	https://github.com/MinhasKamal/CreepyCodeCollection
nelua-lang	2379	https://github.com/edubart/nelua-lang
kcl	2349	https://github.com/kcl-lang/kcl
steel	2312	https://github.com/mattwparas/steel
catala	2288	https://github.com/CatalaLang/catala
nature	2243	https://github.com/nature-lang/nature
moonbit-docs	2241	https://github.com/moonbitlang/moonbit-docs
rune	2208	https://github.com/rune-rs/rune
dark	2160	https://github.com/darklang/dark
lean3	2158	https://github.com/leanprover/lean3
awesome-games-of-coding	2097	https://github.com/michelpereira/awesome-games-of-coding
pocketpy	2062	https://github.com/pocketpy/pocketpy
umka-lang	2033	https://github.com/vtereshkov/umka-lang
chapel	1994	https://github.com/chapel-lang/chapel
command-line-rust	1980	https://github.com/kyclark/command-line-rust
Vale	1979	https://github.com/ValeLang/Vale
lamdu	1894	https://github.com/lamdu/lamdu
fut	1862	https://github.com/fusionlanguage/fut
factor	1824	https://github.com/factor/factor
core	1798	https://github.com/metacall/core
awesome-made-by-brazilians	1790	https://github.com/felipefialho/awesome-made-by-brazilians
wa	1763	https://github.com/wa-lang/wa
lux	1734	https://github.com/LuxLang/lux
clojerl	1708	https://github.com/clojerl/clojerl
golang-examples	1686	https://github.com/SimonWaldherr/golang-examples
plutus	1637	https://github.com/IntersectMBO/plutus
Snap	1598	https://github.com/jmoenig/Snap
inform	1590	https://github.com/ganelson/inform
anko	1564	https://github.com/mattn/anko
pocketlang	1539	https://github.com/ThakeeNathees/pocketlang
ngs	1521	https://github.com/ngs-lang/ngs
hylo	1518	https://github.com/hylo-lang/hylo
Julia.jl	1509	https://github.com/svaksha/Julia.jl
fetlang	1501	https://github.com/fetlang/fetlang
cherri	1496	https://github.com/electrikmilk/cherri
differential-datalog	1495	https://github.com/vmware-archive/differential-datalog
ElixirBooks	1479	https://github.com/sger/ElixirBooks
List-All-Programming-Telegram-Group	1472	https://github.com/hendisantika/List-All-Programming-Telegram-Group
Peregrine	1441	https://github.com/SaptakBhoumik/Peregrine
ring	1438	https://github.com/ring-lang/ring
Programming-Books	1414	https://github.com/CodesdaLu/Programming-Books
virgil	1399	https://github.com/titzer/virgil
eo	1363	https://github.com/objectionary/eo
noir	1341	https://github.com/noir-lang/noir
inko	1274	https://github.com/inko-lang/inko
naml	1261	https://github.com/krisnova/naml
ravi	1249	https://github.com/dibyendumajumdar/ravi
SATySFi	1244	https://github.com/gfngfn/SATySFi
awesome-learning	1208	https://github.com/mfaisalkhatri/awesome-learning
slang	1203	https://github.com/kylestetz/slang
Cantonese	1199	https://github.com/StepfenShawn/Cantonese
java-a-course-for-beginners	1191	https://github.com/in28minutes/java-a-course-for-beginners
kitten	1161	https://github.com/evincarofautumn/kitten
asciidots	1160	https://github.com/aaronjanse/asciidots
tao	1160	https://github.com/zesterer/tao
cakeml	1151	https://github.com/CakeML/cakeml
OneLang	1141	https://github.com/onelang/OneLang
daScript	1122	https://github.com/GaijinEntertainment/daScript
AI-Programmer	1103	https://github.com/primaryobjects/AI-Programmer
rue	1098	https://github.com/rue-language/rue
passerine	1091	https://github.com/vrtbl/passerine
neva	1069	https://github.com/nevalang/neva
metalang99	1063	https://github.com/hirrolot/metalang99
hamler	1038	https://github.com/hamler-lang/hamler
ModiScript	1036	https://github.com/VPanjeta/ModiScript
b1fipl	1035	https://github.com/marcpaq/b1fipl
learn-javascript	1032	https://github.com/sumn2u/learn-javascript
langs-in-rust	1021	https://github.com/alilleybrinker/langs-in-rust
clio	936	https://github.com/clio-lang/clio
lisette	935	https://github.com/ivov/lisette
egison	925	https://github.com/egison/egison
awesome-AutoIt	923	https://github.com/J2TEAM/awesome-AutoIt
holyc-lang	921	https://github.com/Jamesbarford/holyc-lang
ng	916	https://github.com/neugram/ng
create-your-own-lang-with-rust	913	https://github.com/ehsanmok/create-your-own-lang-with-rust
zig.guide	911	https://github.com/Sobeston/zig.guide
Pinecone	896	https://github.com/wmww/Pinecone
guesslang	894	https://github.com/yoeo/guesslang
koto	869	https://github.com/koto-lang/koto
arturo	868	https://github.com/arturo-lang/arturo
kip	867	https://github.com/kip-dili/kip
pythOwO	855	https://github.com/virejdasani/pythOwO
egua	849	https://github.com/eguadev/egua
gentle-intro	847	https://github.com/stevedonovan/gentle-intro
wax	844	https://github.com/LingDong-/wax
c2compiler	829	https://github.com/c2lang/c2compiler
felix	816	https://github.com/felix-lang/felix
lci	811	https://github.com/justinmeza/lci
astro	802	https://github.com/astrolang/astro
tcl	799	https://github.com/tcltk/tcl
awesome-programming-languages	797	https://github.com/ChessMax/awesome-programming-languages
muon	779	https://github.com/nickmqb/muon
rickroll-lang	765	https://github.com/Rick-Lang/rickroll-lang
bril	760	https://github.com/sampsyo/bril
gocaml	757	https://github.com/rhysd/gocaml
racketscript	733	https://github.com/racketscript/racketscript
Z-Sharp	731	https://github.com/sam-astro/Z-Sharp
cmajor	727	https://github.com/cmajor-lang/cmajor
csml-engine	722	https://github.com/CSML-by-Clevy/csml-engine
Ark	716	https://github.com/ArkScript-lang/Ark
seq	706	https://github.com/seq-lang/seq
onyx	683	https://github.com/onyx-lang/onyx
the-c-programming-language-2nd-edition-solutions	678	https://github.com/ohkimur/the-c-programming-language-2nd-edition-solutions
Pluto	673	https://github.com/PlutoLang/Pluto
otterlang	670	https://github.com/Ottrlang/otterlang
rye	668	https://github.com/refaktor/rye
ok	646	https://github.com/JohnEarnest/ok
rhine-ml	634	https://github.com/artagnon/rhine-ml
lolcode-spec	631	https://github.com/justinmeza/lolcode-spec
tabloid	631	https://github.com/thesephist/tabloid
TechnicalNote	626	https://github.com/jobhope/TechnicalNote
pikelet	623	https://github.com/pikelet-lang/pikelet
cotowali	620	https://github.com/cotowali/cotowali
goruby	612	https://github.com/goruby/goruby
abs	610	https://github.com/abs-lang/abs
toy-lang	597	https://github.com/Vexu/toy-lang
CS_Offer	587	https://github.com/rongweihe/CS_Offer
motoko	585	https://github.com/caffeinelabs/motoko
cairo-vm	585	https://github.com/starkware-libs/cairo-vm
dace	581	https://github.com/spcl/dace
Gwion	580	https://github.com/Gwion/Gwion
dg	580	https://github.com/pyos/dg
ink	576	https://github.com/thesephist/ink
hexagony	575	https://github.com/m-ender/hexagony
grace	574	https://github.com/Gabriella439/grace
Project-Guidance	571	https://github.com/Kushal997-das/Project-Guidance
wyvern	565	https://github.com/wyvernlang/wyvern
Free-Courses	564	https://github.com/Leocardoso94/Free-Courses
my_basic	562	https://github.com/paladin-t/my_basic
pl-docs	561	https://github.com/FrankHB/pl-docs
cone	557	https://github.com/jondgoodwin/cone
completely-unscientific-benchmarks	557	https://github.com/frol/completely-unscientific-benchmarks
jolie	556	https://github.com/jolie/jolie
coi	549	https://github.com/coi/coi
fslang-design	549	https://github.com/fsharp/fslang-design
cadence	547	https://github.com/onflow/cadence
Introduction-to-touchdesigner	546	https://github.com/interactiveimmersivehq/Introduction-to-touchdesigner
malbolge-lisp	546	https://github.com/iczelia/malbolge-lisp
solar	544	https://github.com/paradigmxyz/solar
wasm-by-example	524	https://github.com/torch2424/wasm-by-example
juvix	510	https://github.com/anoma/juvix
latino	503	https://github.com/lenguaje-latino/latino
