language,year,wiki,github,website
bash,1989,https://en.wikipedia.org/wiki/Bash_(Unix_shell),https://github.com/gitGNU/gnu_bash,https://www.gnu.org/software/bash/
berry,2019,https://berry-lang.github.io,https://github.com/berry-lang/berry,https://berry-lang.github.io
c,1972,https://en.wikipedia.org/wiki/C_(programming_language),https://github.com/gcc-mirror/gcc,https://gcc.gnu.org/
chapel,2009,https://en.wikipedia.org/wiki/Chapel_(programming_language),https://github.com/chapel-lang/chapel,https://chapel-lang.org
clojure,2007,https://en.wikipedia.org/wiki/Clojure,https://github.com/clojure/clojure,https://clojure.org
clojurescript,2011,https://en.wikipedia.org/wiki/Clojure#ClojureScript,https://github.com/clojure/clojurescript,https://clojurescript.org/
coffeescript,2009,https://en.wikipedia.org/wiki/CoffeeScript,https://github.com/jashkenas/coffeescript,https://coffeescript.org/
common-lisp,1984,https://en.wikipedia.org/wiki/Common_Lisp,https://github.com/sbcl/sbcl,https://www.sbcl.org
cpp,1985,https://en.wikipedia.org/wiki/C%2B%2B,https://github.com/llvm/llvm-project,http://llvm.org
crystal,2014,https://en.wikipedia.org/wiki/Crystal_(programming_language),https://github.com/crystal-lang/crystal,https://crystal-lang.org
csharp,2000,https://en.wikipedia.org/wiki/C_Sharp_(programming_language),https://github.com/dotnet/roslyn,https://docs.microsoft.com/dotnet/csharp/roslyn-sdk/
d,2001,https://en.wikipedia.org/wiki/D_(programming_language),https://github.com/dlang/dmd,https://dlang.org
dash,2002,https://en.wikipedia.org/wiki/Almquist_shell,https://github.com/tklauser/dash,http://gondor.apana.org.au/~herbert/dash/
dart,2011,https://en.wikipedia.org/wiki/Dart_(programming_language),https://github.com/dart-lang/sdk,https://dart.dev
elixir,2012,https://en.wikipedia.org/wiki/Elixir_(programming_language),https://github.com/elixir-lang/elixir,https://elixir-lang.org/
elvish,2013,https://elv.sh,https://github.com/elves/elvish,https://elv.sh/
erlang,1986,https://en.wikipedia.org/wiki/Erlang_(programming_language),https://github.com/erlang/otp,http://erlang.org
fish,2005,https://en.wikipedia.org/wiki/Fish_(Unix_shell),https://github.com/fish-shell/fish-shell,https://fishshell.com
fennel,2016,https://fennel-lang.org,https://github.com/bakpakin/fennel,https://fennel-lang.org
fortran,1957,https://en.wikipedia.org/wiki/Fortran,https://github.com/fortran-lang/stdlib,https://stdlib.fortran-lang.org
freebasic,2004,https://en.wikipedia.org/wiki/FreeBASIC,https://github.com/freebasic/fbc,https://www.freebasic.net
fsharp,2005,https://en.wikipedia.org/wiki/F_Sharp_(programming_language),https://github.com/dotnet/fsharp,https://dotnet.microsoft.com/languages/fsharp
gambas,1999,https://en.wikipedia.org/wiki/Gambas,https://github.com/landv/gambas,https://gambas.app/
gleam,2016,https://gleam.run,https://github.com/gleam-lang/gleam,https://gleam.run
go,2009,https://en.wikipedia.org/wiki/Go_(programming_language),https://github.com/golang/go,https://go.dev
groovy,2003,https://en.wikipedia.org/wiki/Apache_Groovy,https://github.com/apache/groovy,https://groovy-lang.org
hack,2014,https://en.wikipedia.org/wiki/Hack_(programming_language),https://github.com/facebook/hhvm,https://hhvm.com
haskell,1990,https://en.wikipedia.org/wiki/Haskell,https://github.com/ghc/ghc,http://www.haskell.org/ghc/
hilbish,2021,https://github.com/sammy-ette/Hilbish/wiki,https://github.com/Rosettea/Hilbish,https://hilbish.sammyette.party/
ion,2015,https://redox-os.org,https://github.com/redox-os/ion,https://github.com/redox-os/ion
java,1995,https://en.wikipedia.org/wiki/Java_(programming_language),https://github.com/openjdk/jdk,https://openjdk.java.net/
javascript,1995,https://en.wikipedia.org/wiki/JavaScript,https://github.com/nodejs/node,https://nodejs.org
julia,2012,https://en.wikipedia.org/wiki/Julia_(programming_language),https://github.com/JuliaLang/julia,https://julialang.org/
kotlin,2011,https://en.wikipedia.org/wiki/Kotlin_(programming_language),https://github.com/jetbrains/kotlin,https://kotlinlang.org
livescript,2011,https://en.wikipedia.org/wiki/LiveScript_(programming_language),https://github.com/gkz/LiveScript,http://livescript.net
lua,1993,https://en.wikipedia.org/wiki/Lua_(programming_language),https://github.com/lua/lua,https://lua.org
luau,2019,https://luau-lang.org,https://github.com/luau-lang/luau,https://luau.org
murex,2018,https://murex.rocks,https://github.com/lmorg/murex,https://murex.rocks
nim,2008,https://en.wikipedia.org/wiki/Nim_(programming_language),https://github.com/nim-lang/nim,https://nim-lang.org
moonscript,2011,https://moonscript.org,https://github.com/leafo/moonscript,https://moonscript.org
nushell,2019,https://www.nushell.sh,https://github.com/nushell/nushell,https://www.nushell.sh/
ocaml,1996,https://en.wikipedia.org/wiki/OCaml,https://github.com/ocaml/ocaml,https://ocaml.org
octave,1988,https://en.wikipedia.org/wiki/GNU_Octave,https://github.com/gnu-octave/octave,https://www.gnu.org/software/octave/
oil,2016,https://oilshell.org,https://github.com/oilshell/oil,https://oils.pub/
odin,2016,https://odin-lang.org,https://github.com/odin-lang/Odin,https://odin-lang.org
pascal,1970,https://en.wikipedia.org/wiki/Free_Pascal,https://github.com/fpc/FPCSource,https://www.freepascal.org/
perl,1987,https://en.wikipedia.org/wiki/Perl,https://github.com/Perl/perl5,https://dev.perl.org/perl5/
pharo,2008,https://en.wikipedia.org/wiki/Pharo,https://github.com/pharo-project/pharo,http://pharo.org
php,1995,https://en.wikipedia.org/wiki/PHP,https://github.com/php/php-src,https://www.php.net
powershell,2006,https://en.wikipedia.org/wiki/PowerShell,https://github.com/powershell/powershell,https://microsoft.com/PowerShell
python,1990,https://en.wikipedia.org/wiki/Python_(programming_language),https://github.com/python/cpython,https://www.python.org
r,1993,https://en.wikipedia.org/wiki/R_(programming_language),https://github.com/wch/r-source,https://github.com/wch/r-source/wiki/
racket,1995,https://en.wikipedia.org/wiki/Racket_(programming_language),https://github.com/racket/racket,https://racket-lang.org/
raku,2015,https://en.wikipedia.org/wiki/Raku_(programming_language),https://github.com/rakudo/rakudo,https://rakudo.org/
