language,url
bash,https://github.com/gitGNU/gnu_bash
c,https://github.com/gcc-mirror/gcc
chapel,https://github.com/chapel-lang/chapel
clojure,https://github.com/clojure/clojure
clojurescript,https://github.com/clojure/clojurescript
coffeescript,https://github.com/jashkenas/coffeescript
common-lisp,https://github.com/sbcl/sbcl
cpp,https://github.com/llvm/llvm-project
crystal,https://github.com/crystal-lang/crystal
csharp,https://github.com/dotnet/roslyn
d,https://github.com/dlang/dmd
dart,https://github.com/dart-lang/sdk
elixir,https://github.com/elixir-lang/elixir
erlang,https://github.com/erlang/otp
fish,https://github.com/fish-shell/fish-shell
fortran,https://github.com/fortran-lang/stdlib
freebasic,https://github.com/freebasic/fbc
fsharp,https://github.com/dotnet/fsharp
gambas,https://github.com/landv/gambas
go,https://github.com/golang/go
groovy,https://github.com/apache/groovy
hack,https://github.com/facebook/hhvm
haskell,https://github.com/ghc/ghc
java,https://github.com/openjdk/jdk
javascript,https://github.com/nodejs/node
julia,https://github.com/JuliaLang/julia
kotlin,https://github.com/jetbrains/kotlin
livescript,https://github.com/gkz/LiveScript
lua,https://github.com/lua/lua
nim,https://github.com/nim-lang/nim
ocaml,https://github.com/ocaml/ocaml
octave,https://github.com/gnu-octave/octave
pascal,https://github.com/fpc/FPCSource
perl,https://github.com/Perl/perl5
pharo,https://github.com/pharo-project/pharo
php,https://github.com/php/php-src
powershell,https://github.com/powershell/powershell
python,https://github.com/python/cpython
r,https://github.com/wch/r-source
racket,https://github.com/racket/racket
raku,https://github.com/rakudo/rakudo
rescript,https://github.com/rescript-lang/rescript
ruby,https://github.com/ruby/ruby
rust,https://github.com/rust-lang/rust
scala,https://github.com/scala/scala3
scheme,https://github.com/jaseemabid/mit-scheme
smalltalk,https://github.com/gnu-smalltalk/smalltalk
swift,https://github.com/swiftlang/swift
typescript,https://github.com/microsoft/TypeScript
v,https://github.com/vlang/v
vala,https://github.com/gnome/vala
vbnet,https://github.com/dotnet/vblang
zig,https://github.com/ziglang/zig
