language,year,wiki,github
bash,1989,https://en.wikipedia.org/wiki/Bash_(Unix_shell),https://github.com/gitGNU/gnu_bash
c,1972,https://en.wikipedia.org/wiki/C_(programming_language),https://github.com/gcc-mirror/gcc
chapel,2009,https://en.wikipedia.org/wiki/Chapel_(programming_language),https://github.com/chapel-lang/chapel
clojure,2007,https://en.wikipedia.org/wiki/Clojure,https://github.com/clojure/clojure
clojurescript,2011,https://en.wikipedia.org/wiki/Clojure#ClojureScript,https://github.com/clojure/clojurescript
coffeescript,2009,https://en.wikipedia.org/wiki/CoffeeScript,https://github.com/jashkenas/coffeescript
common-lisp,1984,https://en.wikipedia.org/wiki/Common_Lisp,https://github.com/sbcl/sbcl
cpp,1985,https://en.wikipedia.org/wiki/C%2B%2B,https://github.com/llvm/llvm-project
crystal,2014,https://en.wikipedia.org/wiki/Crystal_(programming_language),https://github.com/crystal-lang/crystal
csharp,2000,https://en.wikipedia.org/wiki/C_Sharp_(programming_language),https://github.com/dotnet/roslyn
d,2001,https://en.wikipedia.org/wiki/D_(programming_language),https://github.com/dlang/dmd
dash,2002,https://en.wikipedia.org/wiki/Almquist_shell,https://github.com/tklauser/dash
dart,2011,https://en.wikipedia.org/wiki/Dart_(programming_language),https://github.com/dart-lang/sdk
elixir,2012,https://en.wikipedia.org/wiki/Elixir_(programming_language),https://github.com/elixir-lang/elixir
elvish,2013,https://elv.sh,https://github.com/elves/elvish
erlang,1986,https://en.wikipedia.org/wiki/Erlang_(programming_language),https://github.com/erlang/otp
fish,2005,https://en.wikipedia.org/wiki/Fish_(Unix_shell),https://github.com/fish-shell/fish-shell
fortran,1957,https://en.wikipedia.org/wiki/Fortran,https://github.com/fortran-lang/stdlib
freebasic,2004,https://en.wikipedia.org/wiki/FreeBASIC,https://github.com/freebasic/fbc
fsharp,2005,https://en.wikipedia.org/wiki/F_Sharp_(programming_language),https://github.com/dotnet/fsharp
gambas,1999,https://en.wikipedia.org/wiki/Gambas,https://github.com/landv/gambas
go,2009,https://en.wikipedia.org/wiki/Go_(programming_language),https://github.com/golang/go
groovy,2003,https://en.wikipedia.org/wiki/Apache_Groovy,https://github.com/apache/groovy
hack,2014,https://en.wikipedia.org/wiki/Hack_(programming_language),https://github.com/facebook/hhvm
haskell,1990,https://en.wikipedia.org/wiki/Haskell,https://github.com/ghc/ghc
hilbish,2021,https://github.com/sammy-ette/Hilbish/wiki,https://github.com/Rosettea/Hilbish
ion,2015,https://redox-os.org,https://github.com/redox-os/ion
java,1995,https://en.wikipedia.org/wiki/Java_(programming_language),https://github.com/openjdk/jdk
javascript,1995,https://en.wikipedia.org/wiki/JavaScript,https://github.com/nodejs/node
julia,2012,https://en.wikipedia.org/wiki/Julia_(programming_language),https://github.com/JuliaLang/julia
kotlin,2011,https://en.wikipedia.org/wiki/Kotlin_(programming_language),https://github.com/jetbrains/kotlin
livescript,2011,https://en.wikipedia.org/wiki/LiveScript_(programming_language),https://github.com/gkz/LiveScript
lua,1993,https://en.wikipedia.org/wiki/Lua_(programming_language),https://github.com/lua/lua
murex,2018,https://murex.rocks,https://github.com/lmorg/murex
nim,2008,https://en.wikipedia.org/wiki/Nim_(programming_language),https://github.com/nim-lang/nim
nushell,2019,https://www.nushell.sh,https://github.com/nushell/nushell
ocaml,1996,https://en.wikipedia.org/wiki/OCaml,https://github.com/ocaml/ocaml
octave,1988,https://en.wikipedia.org/wiki/GNU_Octave,https://github.com/gnu-octave/octave
oil,2016,https://oilshell.org,https://github.com/oilshell/oil
pascal,1970,https://en.wikipedia.org/wiki/Free_Pascal,https://github.com/fpc/FPCSource
perl,1987,https://en.wikipedia.org/wiki/Perl,https://github.com/Perl/perl5
pharo,2008,https://en.wikipedia.org/wiki/Pharo,https://github.com/pharo-project/pharo
php,1995,https://en.wikipedia.org/wiki/PHP,https://github.com/php/php-src
powershell,2006,https://en.wikipedia.org/wiki/PowerShell,https://github.com/powershell/powershell
python,1990,https://en.wikipedia.org/wiki/Python_(programming_language),https://github.com/python/cpython
r,1993,https://en.wikipedia.org/wiki/R_(programming_language),https://github.com/wch/r-source
racket,1995,https://en.wikipedia.org/wiki/Racket_(programming_language),https://github.com/racket/racket
raku,2015,https://en.wikipedia.org/wiki/Raku_(programming_language),https://github.com/rakudo/rakudo
rescript,2020,https://en.wikipedia.org/wiki/Reason_(programming_language)#ReScript,https://github.com/rescript-lang/rescript
ruby,1995,https://en.wikipedia.org/wiki/Ruby_(programming_language),https://github.com/ruby/ruby
rust,2010,https://en.wikipedia.org/wiki/Rust_(programming_language),https://github.com/rust-lang/rust
scala,2004,https://en.wikipedia.org/wiki/Scala_(programming_language),https://github.com/scala/scala3
scheme,1975,https://en.wikipedia.org/wiki/MIT/GNU_Scheme,https://github.com/jaseemabid/mit-scheme
smalltalk,1972,https://en.wikipedia.org/wiki/GNU_Smalltalk,https://github.com/gnu-smalltalk/smalltalk
swift,2014,https://en.wikipedia.org/wiki/Swift_(programming_language),https://github.com/swiftlang/swift
typescript,2012,https://en.wikipedia.org/wiki/TypeScript,https://github.com/microsoft/TypeScript
v,2019,https://en.wikipedia.org/wiki/V_(programming_language),https://github.com/vlang/v
vala,2006,https://en.wikipedia.org/wiki/Vala_(programming_language),https://github.com/gnome/vala
vbnet,2001,https://en.wikipedia.org/wiki/Visual_Basic_.NET,https://github.com/dotnet/vblang
xonsh,2015,https://xon.sh,https://github.com/xonsh/xonsh
zig,2016,https://en.wikipedia.org/wiki/Zig_(programming_language),https://github.com/ziglang/zig
zsh,1990,https://en.wikipedia.org/wiki/Z_shell,https://github.com/zsh-users/zsh
